Media;Datumlabel;Begindatum;Materiaal en techniek;Hoogte;Breedte;Diepte;Afmetingenlabel
1;1980-1999;1980;linnen, kleurstof;55;37;0.5;H 55 X B 37 X D 0,5 cm.
1;ca 1930;1930;leer, staal, papier;36;26;0;36x26cm
1;;0;leder, staal;42;28;0;42x28cm
4;;0;hout, metaal, beits, lijm;46.5;27;9;L46.5xB27xH9cm
4;;0;hout, metaal, lijm verfstof, beits;46.5;26;9;L46.5xB26xH9
3;;0;;65;33;14.5;L65xB33xH14.5
2;;0;hout, lijm, metaal, houtsnijwerk, beits;41.5;20;7.5;L41.5xB20xH7.5cm
3;;0;eikenhout, metaal, beits;38.5;19.5;7.5;L38.5xB19.5xH7.5cm
3;;0;hout, lijm metaal, verfstof, beits;37;17;8;L37xB17xH8
3;;0;hout, metaal, verfstof;37;19.5;8;L37xB19.5xH8cm
2;1e helft negentiende eeuw;0;hout, lijm, metaal, verfstof;30.5;24;8.6;L30.5xB24xH8.5
3;2e helft achttiende eeuw;0;hout, metaal, lijm, verfstof;36;18.5;7;L36xB18.5xH7
4;;0;hout, metaal, verfstof;50;25;9.5;L50xB25xH9.5cm
3;;0;hout, metaal, beits, houtsnijwerk;42;22;7.5;L42xB22xH7.5cm
